datasetKey,title,modified,publisher,doi,citation,license
a811c07f-206d-46b8-ad59-93af4e2ce7c0,Global Register of Introduced and Invasive Species GRIIS - Luxembourg,2020-10-05T04:11:40.511+00:00,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,https://doi.org/10.15468/tvi3gf,"Ries C, Pagad S (2020). Global Register of Introduced and Invasive Species GRIIS - Luxembourg. Version 1.2. Invasive Species Specialist Group ISSG. Checklist dataset https://doi.org/10.15468/tvi3gf",http://creativecommons.org/licenses/by/4.0/legalcode
692a0aec-70e2-4038-ac9c-9a1d7acc025f,Global Register of Introduced and Invasive Species - France,2022-06-20T10:47:25.101+00:00,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,https://doi.org/10.15468/up1tr5,"Thevenot J, Albert A, Collas M, De Massary J, Dupont P, Masse C, Moutou F, Poulet N, Roques A, Souty-Grosset C, Vincent B, Wong L J, Pagad S (2022). Global Register of Introduced and Invasive Species - France. Version 1.6. Invasive Species Specialist Group ISSG. Checklist dataset https://doi.org/10.15468/up1tr5",http://creativecommons.org/licenses/by/4.0/legalcode
ad5cba8c-45fb-428c-aafa-7ff013d0fdaf,Global Register of Introduced and Invasive Species - Denmark,2020-09-18T01:08:33.571+00:00,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,https://doi.org/10.15468/1jbiia,"Møller J, Wong L J, Pagad S (2020). Global Register of Introduced and Invasive Species - Denmark. Version 1.6. Invasive Species Specialist Group ISSG. Checklist dataset https://doi.org/10.15468/1jbiia",http://creativecommons.org/licenses/by/4.0/legalcode
d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,GBIF Backbone Taxonomy,2023-11-17T17:05:37.477+00:00,fbca90e3-8aed-48b1-84e3-369afbd000ce,https://doi.org/10.15468/39omei,GBIF Secretariat (2023). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,http://creativecommons.org/licenses/by/4.0/legalcode
